"","log2fc.line.logcbc","pvalue.line.logcbc","qvalue.line.logcbc","log2fc.line.cbc","pvalue.line.cbc","qvalue.line.cbc"
"ENSSSCG00000005829",0.388299768154139,0.0526867682531958,0.140555496584933,0.295812531567083,0.118584555105496,0.237557708416865
"ENSSSCG00000005830",0.832967350922469,0.00190970549632463,0.0328194014747802,0.695098958686698,0.0038671286434101,0.0551925201820688
"ENSSSCG00000005832",0.232243195220628,0.227158325305933,0.29128200998826,0.207585532215221,0.235045507382156,0.325762533855573
"ENSSSCG00000005833",0.188500059220881,0.00215393725578894,0.0337248232382704,0.190548691785827,0.00257015695771012,0.0450228900320181
"ENSSSCG00000005837",0.0857587319545783,0.681461341821241,0.499234558289341,0.129944889422445,0.526809619330817,0.46918502041266
"ENSSSCG00000005838",0.143928404309302,0.0374164862955666,0.121341754220846,0.142466738871726,0.0371296205292325,0.142292339784384
"ENSSSCG00000005839",0.112258464206875,0.178528564436222,0.259033735348219,0.140786928157204,0.0927139665480092,0.213621313087115
"ENSSSCG00000005841",0.112595651451914,0.0671039099687207,0.157244456339432,0.142579752370899,0.0300896415685213,0.1302044767999
"ENSSSCG00000005842",0.0102846828491308,0.911681594019192,0.572086656309838,0.0319346404896308,0.734428956745796,0.538777249828241
"ENSSSCG00000005844",0.3134290300996,0.00676295097901236,0.0557802836901225,0.274609256367729,0.0137656933600665,0.092347431689056
"ENSSSCG00000005845",0.113380287990843,0.279077462800003,0.323066978238747,0.10454558787368,0.316479960187604,0.371626088745393
"ENSSSCG00000005846",0.0199563461666266,0.746192607466369,0.521816870407496,0.039994560372917,0.514510262583024,0.464919466999313
"ENSSSCG00000005849",0.122139311347189,0.0549491211508357,0.143782876234599,0.133884247110933,0.0517668773904207,0.165525492013709
"ENSSSCG00000005855",0.181531029048082,0.107451069905491,0.199431670154621,0.18893479052041,0.0764908052502233,0.195140253503298
"ENSSSCG00000005859",0.0030748303823871,0.971825995730281,0.587495771529459,0.00906874923459219,0.914396901716885,0.588107379608109
"ENSSSCG00000005860",0.157834234409353,0.0349314371311473,0.117752259986751,0.154483220879031,0.0321737593910756,0.135126176443147
"ENSSSCG00000005880",0.091361378394726,0.223890111390743,0.289236258031674,0.115724961489918,0.130327621231592,0.24734797585106
"ENSSSCG00000005890",0.0788719371977685,0.171764512339454,0.25378258916794,0.0821596890382481,0.163059325427968,0.272750896195884
"ENSSSCG00000005893",0.0187965527373802,0.808843771226181,0.542703275861837,0.0463637625321323,0.558200549106176,0.479098119026299
"ENSSSCG00000005894",0.165136720643991,0.182826203310844,0.261590387072827,0.12439693426694,0.283342815295877,0.35299871059513
"ENSSSCG00000005895",0.078613942061951,0.490079534749476,0.42593850644618,0.0284783752396629,0.807953736433393,0.559619310810458
"ENSSSCG00000005896",0.112621784056163,0.173148038319998,0.25505787026498,0.10363740019252,0.192609279596031,0.294685500384191
"ENSSSCG00000005899",0.263791254228998,0.0403582651729536,0.1244361620409,0.251941099441921,0.0377654932452292,0.143393852525033
"ENSSSCG00000005900",0.359300290735406,0.0407597331526057,0.124743263930519,0.306922894569545,0.0750333308966598,0.19340086668057
"ENSSSCG00000005901",0.00500130977583757,0.975032621317372,0.588142287675662,0.035811005125152,0.812875683381877,0.561432143277603
"ENSSSCG00000005904",0.0603853837966088,0.363528716903243,0.36933298508449,0.0741699796827619,0.241086130312391,0.329389152472275
"ENSSSCG00000005906",0.0354528588045969,0.540920590072916,0.446025461105255,0.0861019994576208,0.157754608456134,0.268916242308998
"ENSSSCG00000005907",0.13478121447594,0.262481486271861,0.313684954238848,0.111161849253002,0.317210383778755,0.371731805630155
"ENSSSCG00000005908",0.183599782632472,0.0504211687503409,0.137900849422305,0.169851314888954,0.0679052682111209,0.185727490806269
"ENSSSCG00000005909",0.0133039780427935,0.871708022912254,0.561473006452583,0.0247818890581119,0.750319602232595,0.543362438251506
"ENSSSCG00000005910",0.546432081269588,0.0796484859316413,0.170825967179072,0.55535020948396,0.0619561604076186,0.179208074187543
"ENSSSCG00000005912",0.0111413793917522,0.862888326397046,0.558690524882632,0.00417083316885083,0.944361999053956,0.595665168026598
"ENSSSCG00000005914",0.0398071185615194,0.486564903656434,0.424492358503519,0.0337543357993403,0.541344543440391,0.473431215355329
"ENSSSCG00000005915",0.00452539785629489,0.947426652309894,0.581277587555894,0.0402290539200541,0.555843867897687,0.478778458299712
"ENSSSCG00000005916",0.0488213354816604,0.621440358230888,0.478182416244794,0.0417008626234424,0.662757723645029,0.515894523628403
"ENSSSCG00000005917",0.0954481085857618,0.0967793605332228,0.188673423623229,0.111150504594023,0.0548234529017151,0.170440327391866
"ENSSSCG00000005918",0.0227056084944756,0.802278361561512,0.540287229171678,0.0114301234422756,0.900238679072708,0.584194127738142
"ENSSSCG00000005921",0.00172249607864332,0.98346004923081,0.589315364636071,0.00816774181872769,0.916044777619446,0.5888128329117
"ENSSSCG00000005922",0.162175585415226,0.233140978558235,0.295685061532626,0.130964050598801,0.328255933847823,0.377082843209708
"ENSSSCG00000005924",0.0647783997118729,0.596829254466135,0.468592920307821,0.120935693710553,0.292573513919618,0.358938803365383
"ENSSSCG00000005925",0.0343496722603607,0.636012969264103,0.483612324927925,0.0509721771228393,0.467913026526549,0.442467889364372
